fips,state,name,pop2017,age_under_5_2017,age_over_65_2017,median_age_2017,black_2017,native_2017,asian_2017,pac_isl_2017,other_single_race_2017,two_plus_races_2017,hispanic_2017,white_not_hispanic_2017,hs_grad_2017,bachelors_2017,median_household_income_2017,poverty_2017,poverty_age_under_5_2017,poverty_age_under_18_2017,uninsured_2017,unemployment_rate_2017
13123,Georgia,Gilmer County,30674,5.4,22.5,46,0.87,0.43,0.24,0.01,2.01,0.8,11.49,85.54,81.1,18.6,46211,18.8,41.3,35.3,21,5.01
13125,Georgia,Glascock County,3062,4.7,17,42.9,4.41,0.4,0,0,0.15,0.93,1.55,87.38,77.6,9.4,45273,11.5,7.1,9.2,11.2,5.07
13127,Georgia,Glynn County,85282,6,18.2,40.8,12.92,0.22,0.64,0.02,1.07,1.3,6.72,63.76,88.1,29,47546,19.2,37,30.7,15.5,4.74
13129,Georgia,Gordon County,57089,6.3,13.6,37,2.04,0.42,0.56,0.01,1.11,0.78,15.4,77.99,76.9,13.7,43452,18.8,30.6,29.4,16.4,4.64
13131,Georgia,Grady County,24819,6.8,16.5,39.7,14.38,0.25,0.27,0.15,1.02,0.74,11.06,58.35,77.7,13.7,39462,25.4,41.6,39.7,19.1,4.9
13133,Georgia,Greene County,17281,5.9,27.1,48.9,17.96,0.03,0.48,0.01,1.26,0.74,6.07,56.41,82.4,25.6,45069,21.9,36,34.5,15.2,5.15
13135,Georgia,Gwinnett County,920260,6.9,8.9,34.9,13.34,0.17,5.61,0.02,4.07,1.45,20.75,39.26,87.5,35.3,64496,12.1,18.6,17.5,18.3,4.23
13137,Georgia,Habersham County,44567,5.9,18,39.5,1.57,0.06,1.17,0.1,3.09,0.84,14.15,77.3,78,18.4,44474,17.2,24.9,22.3,17.5,4.58
13139,Georgia,Hall County,199335,6.7,13.8,36,3.74,0.13,0.86,0.01,2.19,1.01,27.81,61.56,78.2,23.5,55622,16.1,28.6,24.6,18.3,3.91
13141,Georgia,Hancock County,8561,3,20.6,44.3,36.51,0,0.27,0.07,0.65,0.26,1.8,24.06,69.8,8.7,29268,30,59.2,54.7,9.1,7.12
13143,Georgia,Haralson County,29256,6.1,15.8,40.7,2.15,0.12,0.38,0,0.33,1.03,1.46,91.2,79,14.1,43663,18,22.5,24.4,12.9,4.78
13145,Georgia,Harris County,33915,4.8,16.9,43.2,8.01,0.06,0.51,0,0.35,1.55,3.31,77.13,89.1,27.4,69539,7.3,10.4,7.7,9.3,4.26
13147,Georgia,Hart County,25794,5.5,20.6,43,9.5,0.02,0.46,0.01,0.86,0.7,3.71,75.1,81.2,13.8,41216,18.8,30.4,22.9,13.6,4.45
13149,Georgia,Heard County,11730,5.7,15.9,41.9,5.01,0.02,0.26,0.04,0.01,2,0.67,84.97,80.3,10.8,44897,17.4,22.4,22.9,15.9,5.02
13151,Georgia,Henry County,225813,5.9,10.6,36.7,20.69,0.03,1.65,0,0.67,1.56,6.47,46.74,90.1,28,64752,11.4,19.5,16,11.7,4.87
13153,Georgia,Houston County,153479,6.8,11.9,35.1,14.94,0.2,1.51,0,0.78,1.69,6.58,57.47,90.7,25.4,55965,16.7,27.5,23.6,13.9,4.76
13155,Georgia,Irwin County,9410,4.5,18.2,39.7,14.04,0,0.24,0,0.09,1.32,1.25,67.63,82.1,13.1,34677,24.5,25.9,33.9,17.5,7.07
13157,Georgia,Jackson County,67519,6.5,14.3,38.7,3.47,0.04,0.86,0.01,0.77,1.01,7.07,82.35,82.8,19.7,57999,12.5,19.7,13.5,13.6,3.64
13159,Georgia,Jasper County,13964,5.7,16.4,42.2,10.41,0.09,0.15,0,1.04,0.6,3.88,73.62,76.1,10.5,42067,19.4,10.8,23.8,14,4.33
13161,Georgia,Jeff Davis County,15025,6.6,15,36.3,8.38,0,0,0,2.67,0.58,11.45,71.64,77,10.3,37267,20.6,42.9,28.1,17.7,6.02
13163,Georgia,Jefferson County,15648,6.9,16.9,38.6,27.16,0.04,0.05,0,0.41,0.66,3.65,41.71,74.5,10.6,29640,26.9,52,43.5,18,6.3
13165,Georgia,Jenkins County,8767,7.1,15.6,40.6,17.88,0.73,0.43,0,0,0.39,6.44,56.24,78.7,8.3,27197,30.7,70.2,45.4,17.7,6.83
13167,Georgia,Johnson County,9788,5.8,17.3,41.6,16.88,0,0.09,0,0,0.55,2.33,62.64,75.6,9.6,36423,21.5,54.5,36.5,17.5,5.15
13169,Georgia,Jones County,28470,5.4,16.1,39.7,12.45,0.08,0.35,0,0.01,0.58,1.46,71.89,88.3,20.7,55110,14.2,25,19.7,11.7,4.38
13171,Georgia,Lamar County,18599,5.5,16.2,38.1,14.48,0.04,0.38,0,0.04,1.93,2.27,65.02,85.5,18.4,41157,20.8,32.3,29.6,16.7,5.67
13173,Georgia,Lanier County,10425,7,12.6,33.8,12.03,0,0.14,0,0.27,0.6,5.46,68.7,79.9,15.8,31109,28.7,44.6,32.6,17.5,5.11
13175,Georgia,Laurens County,47330,6.7,16.3,38.3,18.43,0.04,0.55,0.01,0.66,0.42,2.56,58.15,83.9,15.4,35202,27.3,46.8,36.9,12.9,5.92
13177,Georgia,Lee County,29470,6.3,11.2,36.9,9.77,0.03,1.24,0.04,0.34,1.31,2.75,72.8,88.9,25.7,65018,11.6,20.7,15.7,10.7,4.23
13179,Georgia,Liberty County,61386,10.2,8,27.9,20.53,0.25,1.09,0.26,1.8,2.64,12.45,40.26,90.9,19.4,43493,16.6,26,21.7,12.7,5.22
13181,Georgia,Lincoln County,7880,5.5,21.7,47.9,16.11,0.03,0.12,0.01,0.26,0.26,1.53,65.42,83,12.1,37711,23,63.9,38,13.2,5.28
13183,Georgia,Long County,19014,7.9,8.2,31.6,12.06,0.11,0.49,0.08,2.35,2.63,11.38,58.51,86.5,15.6,53083,20,29.8,27.6,18,4.96
13185,Georgia,Lowndes County,115489,7.1,11.1,30.1,18.17,0.12,0.94,0.02,0.77,1,5.42,54.52,84.4,25.2,39911,25,35.9,30.5,16.7,4.7
13187,Georgia,Lumpkin County,32873,4.3,16.2,37.3,1.14,0.38,0.19,0,0.59,0.74,4.72,90.77,83.3,26.7,43039,20.1,20,18.8,13.5,4.02
13189,Georgia,McDuffie County,21498,7.1,16.3,37.8,20.24,0,0.23,0.42,1.04,0.69,2.87,54.17,81.2,15.3,40469,26,54.1,44.7,15.2,6.24
13191,Georgia,McIntosh County,14106,4.4,23.4,49.2,17.58,0.07,0,0.07,0.45,0.69,1.51,61.72,82.8,14,43285,20.3,48.5,29.7,16.3,5.1
13193,Georgia,Macon County,13314,4.4,15.3,40.6,29.67,0.22,0.81,0.01,1.31,0.52,4.25,32.62,72.8,8.6,30851,28.6,55.4,39.1,20.6,6.99
13195,Georgia,Madison County,29302,5.9,16,41,4.32,0.17,0.72,0,1.56,0.81,4.88,82.91,82.3,16.7,47653,17.6,23,23.4,14.6,4.28
13197,Georgia,Marion County,8450,5.3,18,43.3,17.87,0,0.36,0.23,0.88,0.87,1.68,59.18,77.1,12.5,39015,23.1,43.5,36,13,6.08
13199,Georgia,Meriwether County,21049,5.7,19,42,19.21,0.09,0.31,0,0.49,1.03,2.09,56.32,77.2,10.7,36368,22.7,28.1,30.7,14.5,5.88
13201,Georgia,Miller County,5838,5.9,20.8,43.1,15.19,0.42,0,0,0.05,0.06,0.41,68.37,82.1,11.4,37255,23.3,32.1,36.7,13.6,4.54
13205,Georgia,Mitchell County,22292,6.1,15.2,38.8,23.82,0.07,0.16,0.03,0.57,0.71,4.43,46.26,76.6,12.3,34122,27.1,44.4,39.5,19.6,6.36
13207,Georgia,Monroe County,27113,5.2,17.1,43.3,11.78,0.06,0.39,0,0.48,0.48,2.35,72.09,84.2,22.7,50666,13.3,12.8,10.8,12.3,4.52
13209,Georgia,Montgomery County,9031,5.3,15.6,39.4,13.08,0.22,0.15,0,2.03,0.68,6.55,64.48,81.3,15.5,40308,19.5,33,26.9,14.4,6.64
13211,Georgia,Morgan County,18412,5.4,18.4,44.2,11.78,0.07,0.03,0,0.35,0.71,3.14,71.63,86.6,22.1,59572,13.4,29.5,19.1,12.8,4.54
13213,Georgia,Murray County,39782,6.2,13.4,37.6,0.48,0.04,0.18,0,0.48,0.5,14.34,83.32,67.6,9.6,41617,18,28.6,25.6,18,6.21
13215,Georgia,Muscogee County,194058,7.4,12.2,33.7,22.8,0.19,1.19,0.08,1.53,1.94,7.49,41.07,87.4,26,43239,21.7,32.8,30.9,13.7,6.05
13217,Georgia,Newton County,108078,6.5,12,36.2,21.63,0.15,0.51,0.06,0.38,1.29,5.13,48.71,85.2,19.9,52784,16.7,27.5,23.9,12.9,5.32
13219,Georgia,Oconee County,38028,5.2,14.2,40.1,2.71,0.03,2.05,0,0.12,0.73,4.76,84.85,94.3,48.2,77388,6.9,12.9,10.1,7.6,3.54
13221,Georgia,Oglethorpe County,14877,5.5,17.7,42.5,8.98,0.06,0.15,0,0.69,0.78,4.14,75.92,77.9,15.5,43938,17.6,25.8,30,13.2,4.3
13223,Georgia,Paulding County,159445,6.5,9.7,35.6,9.28,0.09,0.52,0.02,0.77,1.19,5.82,73.03,90.1,24.4,63669,9.7,11.3,12.8,11.6,4.14
13225,Georgia,Peach County,27099,5.5,14.4,35.8,22.24,0.03,0.56,0.04,2.4,0.45,7.51,45.97,85.8,20.3,43645,18.7,32.5,26.1,14.4,5.85
13227,Georgia,Pickens County,31588,4.7,20.6,44.9,0.24,0.04,0.27,0.02,0.44,1.17,3.04,93.65,83.7,24.9,61542,9.8,10.2,10.3,12.3,4.29
13229,Georgia,Pierce County,19307,6.1,16.3,39.4,4.47,0.2,0.07,0,1.08,0.75,5.11,84.08,81.9,12.7,39863,21,30.7,28.3,17.1,4.54
13231,Georgia,Pike County,18217,4.8,15,40.5,5.15,0,0.09,0,0.08,0.66,1.52,86.7,89,16.5,52377,12.3,25,14.8,14.6,4.47
13233,Georgia,Polk County,42085,6.7,15.2,37.1,6.34,0.2,0.33,0.03,4.64,0.77,13.04,71.97,76.7,12.7,40652,19,32.8,30.4,16,5.28
13235,Georgia,Pulaski County,11201,3,18.6,43.1,17.37,0.09,0,0,0.1,0.73,3.56,60.05,80.1,12.6,38750,21.8,42.5,36.6,17.3,5.28
13237,Georgia,Putnam County,21730,5,22.1,45.6,13.04,0.02,0.27,0,1.58,0.75,6.56,65.38,85.9,21.4,48340,16.2,38.1,22.6,16,5.83
13239,Georgia,Quitman County,2358,4.1,32.1,52.6,25.37,0,2.48,0.09,0,0.82,0.56,41.92,70.3,8.3,26750,22.8,29.5,46.1,18.5,5.93
13241,Georgia,Rabun County,16602,4.4,26.1,48.8,0.99,0.24,0.41,0,1.69,0.56,8.07,87.06,83.8,25.3,39297,20.3,21.7,29.3,21.8,4.99
13243,Georgia,Randolph County,7075,7.1,23.1,44.3,29.87,0,0.72,0,0.56,0.49,1.67,36.23,73.7,12.1,30640,35.1,78,63,17.7,6.65
13245,Georgia,Richmond County,201800,6.9,12.8,33.7,28,0.11,0.89,0.11,0.53,1.23,4.78,35.54,83,21,39430,24.2,36,37.4,14.4,5.95
13247,Georgia,Rockdale County,90312,6,13,37.3,25.92,0.06,0.99,0.12,0.77,1.11,10.21,34.58,86.9,25.8,54175,16.3,36.6,24.2,15.5,5.28
13249,Georgia,Schley County,5213,5.4,16.4,36.9,14.01,0,0,0,0.9,0.49,4.99,67.22,81.3,13.7,41267,22.2,37.3,31.7,16.5,5.59
13251,Georgia,Screven County,13953,6.2,17,41.2,20.86,0.14,0.27,0,0.14,0.71,1.82,54.51,82,14.7,36556,22.6,35.7,36.3,15.8,6.37
13253,Georgia,Seminole County,8292,5.6,21.8,44,16.83,0,0.48,0,1.12,0.68,2.96,61.61,84,15.1,33999,25.5,39.9,41.3,18,6.56
13255,Georgia,Spalding County,65380,6.5,16.8,38.9,16.67,0.2,0.47,0.01,0.39,0.81,4.35,59.37,80.6,16.2,42398,21.6,36.2,33.5,15.6,5.82
13257,Georgia,Stephens County,25890,5.6,18.7,42.3,5.87,0.13,0.21,0,0.97,0.81,3.16,82.83,81.6,19.6,39756,18.1,14.7,24.6,15.2,5.28
13259,Georgia,Stewart County,5985,3.4,15.2,37,25.14,0.13,1.11,0,8.48,1.28,20.27,25.82,65.7,12.4,22413,41.5,78.8,62.4,15.1,5.87
13261,Georgia,Sumter County,29847,6.3,15.5,35.2,26.21,0.04,0.56,0,1.11,0.97,5.3,39.79,78.7,16.8,34219,33.4,49.8,52.8,14.1,6.94
13263,Georgia,Talbot County,6249,3.9,22.5,49.9,28.3,0.04,0.26,0,0.13,0.23,2.34,40.2,79.2,12.5,37226,16.9,28.2,18.1,13.6,6.15
13265,Georgia,Taliaferro County,1628,4,21.3,43.3,30.91,0,0.16,0,0.33,0.08,4.23,33.73,69.1,6.8,30500,31,54.4,49.1,17.8,6.82
13267,Georgia,Tattnall County,25334,5.6,13.2,36.9,14.62,0.17,0.1,0.01,4.06,1.06,10.76,58.4,74.4,12.3,36355,23.7,39.9,38.2,15.4,4.98
13269,Georgia,Taylor County,8142,5.1,18.3,43.8,20.2,0,0.45,0,0.46,0.14,0.96,57.49,76.8,11.4,29875,28.2,44.2,34.9,19,8.76
13271,Georgia,Telfair County,15989,4,16.1,41,21.47,0.01,0,0,0.99,0.25,11.63,49.07,70.4,8.1,28044,27.7,55.7,40.6,15.2,7.83
13273,Georgia,Terrell County,8729,6.6,17.7,40.7,30.99,0.06,0.1,0,0.17,0.48,2.71,35.51,75.8,10.8,32219,35.3,67.7,57.1,20.7,5.99
13275,Georgia,Thomas County,44779,6.4,16.7,39.6,17.92,0.06,0.42,0.02,0.43,1.14,3.5,57.67,82.5,22.2,41336,19.5,26.8,24.8,15.9,5.89
13277,Georgia,Tift County,40598,7,14,35.5,14.72,0.05,0.6,0.02,2.09,0.72,11.39,56.34,82.2,16.8,38728,27.8,54.7,41.9,19.7,4.75
13279,Georgia,Toombs County,26999,7.3,15.3,36.1,12.76,0,0.46,0,4.43,0.98,11.56,60.51,80.6,15.9,35750,24.4,38.7,29.7,20.9,6.51
13281,Georgia,Towns County,11506,3.7,33.6,53.3,0.6,0.3,0.11,0,0.13,1.01,1.46,94.99,89.1,25.6,41182,14.7,16.9,22.6,12.9,6.54
13283,Georgia,Treutlen County,6740,6.9,19.1,40.8,14.86,0,0,0,0.14,0.14,2.12,67.98,76.3,15.5,39375,21,35.9,34.1,18.6,6.65
13285,Georgia,Troup County,69786,6.6,13.9,36.2,17.62,0.06,1,0.01,0.67,1.15,3.69,57.25,83.6,18.5,43597,21.3,35.8,29,13.3,4.43
13287,Georgia,Turner County,7961,6.3,18.9,40.2,21.46,0.12,0.2,0,0.22,0.32,4.58,54.67,76.5,13.5,42622,27.9,48.6,46,16.6,5.72
13289,Georgia,Twiggs County,8174,5.3,20.5,46.3,21.31,0.02,0.05,0,0,0.97,0.36,54.93,68.6,9.2,30629,27.3,34.4,28.3,16.5,7.6
13291,Georgia,Union County,23459,3.4,31.6,53.8,0.42,0.21,0.35,0,0.03,0.45,3.05,94.17,88.7,22,42767,12.8,48.7,25.2,12.1,4.48
13293,Georgia,Upson County,26135,6.2,17.7,41.5,14.23,0.15,0.25,0.07,0,0.42,2.3,67.58,79.2,12.9,35375,22.7,47.8,33.2,14.9,5.54
13295,Georgia,Walker County,68939,5.6,17.6,41.4,2.15,0.07,0.33,0,0.35,0.98,1.99,91.39,81.3,15.5,43581,17.2,21.7,23.8,14.3,4.56
13297,Georgia,Walton County,91600,6.2,14.7,38.9,8.28,0.11,0.61,0.04,0.69,0.77,4.01,75.95,86.8,19,55876,12.8,21.2,18.2,12.1,4.32
13299,Georgia,Ware County,35871,6.7,16.5,38.9,14.85,0.2,0.57,0.02,1.07,0.63,3.99,63.81,82.4,13.5,36962,24.8,43.1,38.8,16.4,4.56
13301,Georgia,Warren County,5303,5.1,20.5,44.2,30.3,0,0.5,0.14,0.1,0.37,0.57,37.19,75.1,13.7,32860,26.8,35.3,37.2,16.4,5.94
13303,Georgia,Washington County,20313,5.8,16.2,40.3,26.53,0,0.31,0,0.22,0.47,2.31,43.23,78.7,13.1,38097,27.1,41.6,37.9,14.4,6.01
13305,Georgia,Wayne County,29817,7,14.7,38.2,10,0.05,0.23,0,0.94,1.41,6.22,71.21,81.3,12.7,41534,21.3,29.5,25.9,18.8,5.78
13307,Georgia,Webster County,2605,3.5,19.1,43.5,24.42,0.04,0,0,0.49,0.32,2.06,48.38,80.9,11.3,36658,19.5,25,25.3,9.7,7.59
13309,Georgia,Wheeler County,7952,4.3,13.5,38.2,21.11,0.17,0,0,0,0.07,1.65,56.15,76.9,8.1,28490,29.3,58.6,43.3,21.9,8.93
13311,Georgia,White County,29453,4.4,20.7,45.1,1.03,0.12,0.26,0,0.61,0.74,3.07,92.51,85.2,20.2,43944,17.7,35.2,29.1,13.9,3.89
13313,Georgia,Whitfield County,104658,6.9,13.1,35.4,1.97,0.3,0.69,0,2.11,0.71,34.16,59.5,68.9,14.6,43871,19.2,33.3,28.3,19.7,5.47
13315,Georgia,Wilcox County,8800,5.2,16.3,39.4,17.74,0.14,0,0,0.42,0.44,4.34,58.49,80.7,10.5,35457,21.8,40.4,30.6,16.4,5.94
13317,Georgia,Wilkes County,9892,5.3,22.1,45.5,21.23,0,0.4,0,1.52,0.44,4.57,51.13,78.6,14.3,34234,26.5,51.4,46.5,16.1,5.68
13319,Georgia,Wilkinson County,8959,5.6,17.8,42.5,19.08,0.04,0,0.04,0.36,1.06,2.71,56.83,82.6,9,38711,23.3,15.3,31.4,10.1,5.72
13321,Georgia,Worth County,20533,6.1,17.7,42.1,14.1,0.46,0.15,0,0.25,0.6,2.01,67.37,78.1,11,40369,21.5,27.7,32,17.4,4.92
15001,Hawaii,Hawaii County,200381,6.2,18.5,42.1,0.31,0.18,11.11,6.54,0.6,14.32,12.49,30.33,92.3,28.6,56395,17.4,28,23.4,6,2.81
15003,Hawaii,Honolulu County,988650,6.5,16.4,37.6,1.17,0.07,21.44,4.68,0.48,11.58,9.6,18.72,91.4,34,80078,9.1,11.3,10.7,4,2.24
15005,Hawaii,Kalawao County,88,2.3,14,57.6,0,0,15.7,16.86,0.58,6.4,4.65,20.93,87.3,22.8,61750,12.7,NA,NA,7.8,NA
15007,Hawaii,Kauai County,72159,6.3,18,42.1,0.35,0.26,17.4,4.7,0.26,10.65,10.77,29.62,91.8,28.2,72330,9.1,9.6,8,5.7,2.38
15009,Hawaii,Maui County,166260,6.2,16.1,40.9,0.28,0.09,14.5,5.33,0.55,11.5,11.05,30.51,92.1,26.3,72762,10,14,11,6,2.54
16001,Idaho,Ada County,456849,6.1,13,36.4,0.65,0.27,1.3,0.08,0.72,1.51,7.87,85.22,94.7,37.6,60151,11.8,12.9,12.8,9.1,2.78
16003,Idaho,Adams County,4147,4,27.1,52.8,0.16,0.62,0,0.1,0.27,0.96,3.32,92.65,89.1,20.3,42727,13.8,16.7,20.9,15.8,5.66
16005,Idaho,Bannock County,85269,7.5,13,33.2,0.32,1.56,0.68,0.11,0.83,1.56,8.27,84.53,92,28.1,47390,17.6,22.4,19.9,9.5,3.01
16007,Idaho,Bear Lake County,6028,7.4,20,39.3,0.4,0.11,0.34,0,1.03,0.54,4.12,93.66,93.8,20.3,50603,14.5,30,21.3,10.1,3.25
16009,Idaho,Benewah County,9184,5.8,21.8,46.5,0.12,4.43,0.5,0.11,0.06,1.19,3.44,84.72,86.3,14.1,43472,15.8,25,21.4,15.2,5.53
16011,Idaho,Bingham County,45927,8.1,13.2,33.3,0.16,3.07,0.47,0,3.16,1.55,17.9,74.01,86.8,19.3,51307,13.1,21,17.6,12.8,2.95
16013,Idaho,Blaine County,22024,5.5,16.5,42.8,0.15,0.02,0.56,0.22,1.57,0.68,21.01,76.5,88.7,40.4,58835,14.8,33.9,28.4,16.2,2.53
16015,Idaho,Boise County,7290,3,23.3,53.2,0.1,0.69,0.55,0.04,0.17,1.18,4.1,91.76,93.5,29.2,49964,11.3,15.8,19.3,10.5,4.78
16017,Idaho,Bonner County,43560,4.7,22,47.7,0.1,0.35,0.36,0.03,0.3,1.22,2.89,93.55,91.1,22.4,45607,14,22.6,18.2,13.6,4.49
16019,Idaho,Bonneville County,114595,8.7,12.4,32.6,0.25,0.18,0.44,0.08,3.11,1.29,12.67,83.61,91.5,29.3,54150,11.9,17,14.9,9.9,2.67
16021,Idaho,Boundary County,11922,6,20.6,43.7,0.11,0.69,0.25,0.22,0.42,1.34,4.65,90.91,89.7,18.2,39512,18.3,36.6,26.4,22.1,4.75
16023,Idaho,Butte County,2602,4,20,46.4,1.24,0.02,0,0,0.34,0.17,2.53,94.6,92.1,15.5,43207,16.2,27.6,18.6,13.2,3.04
16025,Idaho,Camas County,1102,7.4,20.8,47,0,0,0,0,1.86,0.17,9.26,90.41,90.5,20.6,36667,22.3,33.3,36.5,20.3,2.66
16027,Idaho,Canyon County,216699,7.9,12.8,33.2,0.23,0.51,0.42,0.1,3.54,1.57,24.87,70.93,84.6,18.1,46426,17.1,24.1,20.7,15.3,3.55
16029,Idaho,Caribou County,7034,7.3,17.1,36.9,0,0.07,0.04,0,0.99,0.45,5.41,93.52,92,20.1,58750,9.4,8,9.7,7.6,3.17
16031,Idaho,Cassia County,23664,8.6,13.2,31.8,0.05,0.5,0.28,0.03,1.44,0.6,27,70.39,81,18.1,48162,14.7,22,18,17.1,2.47
16033,Idaho,Clark County,873,10.8,10.7,29.7,0.09,2.84,0,0,2.75,1.04,41.99,51.37,70.7,17,31927,24.2,46.5,32.2,28.8,2.73
16035,Idaho,Clearwater County,8546,3.6,25.7,50.3,0.11,1.1,0.27,0.18,0.61,0.98,3.89,90.98,89.4,17.4,41122,13.9,17.4,14.8,11.1,6.88
16037,Idaho,Custer County,4172,3.3,29.4,53.4,0.01,0.6,0,0,0.46,1.36,3.96,92.2,89.7,22.6,37976,18.9,23.4,18.4,13.5,4.23
16039,Idaho,Elmore County,26823,8,12.4,31.4,1.47,0.84,1.55,0.16,1.11,1.47,16.39,73.35,87.8,17.6,45154,14.9,16.6,18.5,13.9,3.62
16041,Idaho,Franklin County,13564,8.5,13.4,32.6,0.13,0.28,0.01,0.05,0.71,0.54,6.71,91.32,90.7,20.2,51583,12.2,17.6,16.8,12.3,2.28
16043,Idaho,Fremont County,13094,6.5,16.3,36.7,0.11,0.17,0.05,0.1,1.37,1.38,12.45,85.11,87.9,21.1,51806,11.9,16.5,15.6,12.6,2.66
16045,Idaho,Gem County,17379,5.4,20.8,45.2,0,0.61,0.34,0.01,1.71,1.36,8.3,88.04,87.7,16.9,42888,20.7,21.6,27.7,17.3,3.92
16047,Idaho,Gooding County,15124,6.8,16.7,37.3,0.05,0.58,0.23,0.12,2.89,1.25,28.82,68.14,77.9,14.7,42626,15.9,20.4,22.5,18.5,2.45
16049,Idaho,Idaho County,16369,4.9,25.2,49.5,0.11,1.61,0.14,0.05,0.31,1.11,3.21,91.33,89.9,19.1,40299,13.5,22.1,14.8,12.2,4.95
16051,Idaho,Jefferson County,28446,9.1,10.7,31.3,0.03,0.16,0.13,0.11,2.67,1.53,10.43,87.07,87.8,21.2,58055,9.5,10.9,11.2,11.6,2.5
16053,Idaho,Jerome County,23627,9,12.5,32.6,0.05,0.22,0.22,0.15,0.89,0.89,34.48,63.11,75.9,13,46421,16.3,27.6,22.9,21.3,2.73
16055,Idaho,Kootenai County,157637,6,17.4,39.7,0.22,0.71,0.36,0.05,0.21,1.31,4.37,91.01,92.9,24.5,53189,12.6,20.8,18.6,11.6,3.84
16057,Idaho,Latah County,39333,5.6,12,28.3,0.36,0.45,1.33,0.02,0.34,1.24,4.17,89.42,96.2,46.4,43310,22.5,26.9,18.6,7.5,2.65
16059,Idaho,Lemhi County,7875,4.4,27.6,52.9,0.1,0.35,0.11,0.02,0.19,1.35,3.22,93.33,90,22.3,36031,17.1,41.7,25.8,14.4,5.21
16061,Idaho,Lewis County,3887,5.5,24,48.1,0.05,3.69,0.39,0.01,0.29,1.58,4.34,85.62,89.7,16.3,40313,15.3,15.3,19.2,16.7,5.86
16063,Idaho,Lincoln County,5318,7.3,12.6,33.1,0,0.25,0.12,0,1.39,1.46,29.78,67.28,78.1,9.1,46383,11.5,18.4,15.8,24,3.21
16065,Idaho,Madison County,39141,10,6.3,23.5,0.32,0.01,0.57,0.05,1.1,1.08,7.12,88.99,95.4,37.5,33620,31.8,37.9,22.2,7.7,1.89
16067,Idaho,Minidoka County,20729,7.9,15.6,35.4,0.13,0.32,0.21,0.07,1.33,0.79,34.38,63.06,77.4,14.2,48021,17.9,22.2,26.7,21.4,2.66
16069,Idaho,Nez Perce County,40385,6.1,19.1,41.3,0.19,2.84,0.45,0.03,0.16,1.38,3.71,87.24,92,22.7,51804,14.4,26.7,19.1,10.1,2.83
16071,Idaho,Oneida County,4427,6.4,18.9,39.5,0.04,0.21,0,0,0.06,1.07,4.15,93.72,91,15.1,43491,12.6,31.3,19.8,9.6,2.84
16073,Idaho,Owyhee County,11628,6.7,16.9,38.6,0.07,1.69,0.09,0,4.16,1.13,26.55,68.17,75.1,9.7,36092,23.3,33.7,33.2,26.1,4
16075,Idaho,Payette County,23215,6.5,16.9,38.8,0.2,0.38,0.37,0,1.93,1.67,17.01,78.81,86.9,14.2,48447,15.5,28,17.4,14.5,3.92
16077,Idaho,Power County,7600,8.2,15,34.8,0.13,1.98,0,0.02,7.36,0.35,32.91,62.5,76.6,15.8,47602,11.6,18.8,18.6,14.6,3.39
16079,Idaho,Shoshone County,12542,5.9,21.9,47.2,0.14,1.12,0.24,0,0.18,1.2,3.44,91.81,85.2,12.4,39835,17.4,32.3,27.2,15.1,6.27
16081,Idaho,Teton County,11381,7.6,9.4,36.4,0.09,0.09,0.06,0,4.19,0.93,17,81.12,92.7,42.5,55986,8.3,9.5,11.4,10.5,2.73
16083,Idaho,Twin Falls County,85124,7.6,14.8,34.6,0.33,0.55,0.91,0.04,1.12,0.74,15.64,80.21,87.7,19.1,49118,14.4,19.2,17.4,13.1,2.89
16085,Idaho,Valley County,10687,4.3,24.6,50.2,0.04,0.1,0.06,0,0,0.26,4.43,94.71,94.4,30.8,54015,10.4,3.2,2.8,11.6,4.39
16087,Idaho,Washington County,10121,4.6,23.7,46.1,0.02,0.38,0.5,0,3.62,1.49,17.16,78.67,83.9,16.4,37521,15.7,19.6,21,16.8,4.66
17001,Illinois,Adams County,66234,6.1,19.1,41.5,2.01,0.17,0.38,0.03,0.1,0.74,1.48,92.04,91.7,23.4,48454,13.1,22.1,16.9,5.6,3.81
17003,Illinois,Alexander County,6315,7.2,19.9,42.3,17.29,0.32,0.08,0,0.12,1.09,1,61.84,78.5,10.7,31014,33.4,60,59.3,8.8,7.96
17005,Illinois,Bond County,16948,4.5,17,40.4,3.03,0.16,0.58,0,0.25,0.6,3.46,87.83,89.1,19.3,54393,15.7,28.8,21.7,6.3,4.34
17007,Illinois,Boone County,53513,5.8,14.3,38.3,1.14,0.17,0.59,0,3.13,1.09,21.04,74,86.8,21.7,62701,10.6,19.7,14.7,7.2,6.58
17009,Illinois,Brown County,6716,4.1,13.7,38.7,10.77,0.02,0.3,0,0.18,0.47,3.61,73.61,83.8,13.2,56289,11.6,23,15.1,4.8,2.85
17011,Illinois,Bureau County,33243,5.3,20.5,43.7,0.39,0.07,0.38,0,1.49,0.77,8.75,88.41,91.1,18.9,54271,12.6,26,21.8,5.5,4.79
17013,Illinois,Calhoun County,4833,5.1,22.6,46.5,0.15,0.07,0.46,0,0.02,0.59,1.12,96.69,91.3,13.7,53641,12.8,20.9,15.1,3.4,5.31
17015,Illinois,Carroll County,14518,5,23.8,47.4,0.67,0.05,0.35,0,0.41,0.6,3.58,93.4,91.5,17.4,50555,11.3,21.2,12,6.9,4.52
