Vaccine,Geography Type,Geography,FIPS,Survey Year,Dimension Type,Dimension,Estimate (%),95% CI (%),Sample Size
Pneumococcal,States/Local Areas,Massachusetts,25,2017,18-64 Years at Increased Risk,Overall,39.0,34.6 to 43.4,1164
Pneumococcal,States/Local Areas,Michigan,26,2017,18-64 Years at Increased Risk,Overall,36.8,34.4 to 39.1,2381
Pneumococcal,States/Local Areas,Minnesota,27,2017,18-64 Years at Increased Risk,Overall,33.8,31.6 to 35.9,3003
Pneumococcal,States/Local Areas,Mississippi,28,2017,18-64 Years at Increased Risk,Overall,35.2,31.4 to 38.9,1102
Pneumococcal,States/Local Areas,Missouri,29,2017,18-64 Years at Increased Risk,Overall,34.7,31.8 to 37.7,1691
Pneumococcal,States/Local Areas,Montana,30,2017,18-64 Years at Increased Risk,Overall,38.2,34.5 to 41.8,1266
Pneumococcal,States/Local Areas,Nebraska,31,2017,18-64 Years at Increased Risk,Overall,38.3,35.7 to 41.0,2961
Pneumococcal,States/Local Areas,Nevada,32,2017,18-64 Years at Increased Risk,Overall,31.2,26.4 to 35.9,750
Pneumococcal,States/Local Areas,New Hampshire,33,2017,18-64 Years at Increased Risk,Overall,38.5,34.3 to 42.7,1055
Pneumococcal,States/Local Areas,New Jersey,34,2017,18-64 Years at Increased Risk,Overall,32.1,29.0 to 35.2,2210
Pneumococcal,States/Local Areas,New Mexico,35,2017,18-64 Years at Increased Risk,Overall,36.7,33.0 to 40.4,1305
Pneumococcal,States/Local Areas,New York,36,2017,18-64 Years at Increased Risk,Overall,36.7,34.0 to 39.4,2318
Pneumococcal,States/Local Areas,NY-City of New York,131,2017,18-64 Years at Increased Risk,Overall,34.0,29.3 to 38.7,615
Pneumococcal,States/Local Areas,NY-Rest of state,132,2017,18-64 Years at Increased Risk,Overall,38.3,34.8 to 41.8,1527
Pneumococcal,States/Local Areas,North Carolina,37,2017,18-64 Years at Increased Risk,Overall,34.9,31.3 to 38.6,1101
Pneumococcal,States/Local Areas,North Dakota,38,2017,18-64 Years at Increased Risk,Overall,35.8,32.6 to 39.1,1368
Pneumococcal,States/Local Areas,Ohio,39,2017,18-64 Years at Increased Risk,Overall,37.8,35.2 to 40.4,2758
Pneumococcal,States/Local Areas,Oklahoma,40,2017,18-64 Years at Increased Risk,Overall,41.1,37.9 to 44.3,1348
Pneumococcal,States/Local Areas,Oregon,41,2017,18-64 Years at Increased Risk,Overall,42.5,38.9 to 46.0,992
Pneumococcal,States/Local Areas,Pennsylvania,42,2017,18-64 Years at Increased Risk,Overall,38.9,35.6 to 42.1,1488
Pneumococcal,States/Local Areas,PA-Philadelphia,141,2017,18-64 Years at Increased Risk,Overall,40.1,30.6 to 49.6,157
Pneumococcal,States/Local Areas,PA-Rest of state,142,2017,18-64 Years at Increased Risk,Overall,38.9,35.3 to 42.6,1205
Pneumococcal,HHS Regions/National,United States,100,2017,18-64 Years at Increased Risk,Overall,36.1,35.4 to 36.7,88678
Pneumococcal,HHS Regions/National,Region 1,101,2017,18-64 Years at Increased Risk,Overall,38.2,36.0 to 40.3,8447
Pneumococcal,HHS Regions/National,Region 2,102,2017,18-64 Years at Increased Risk,Overall,35.2,33.1 to 37.3,4528
Pneumococcal,HHS Regions/National,Region 3,103,2017,18-64 Years at Increased Risk,Overall,38.3,36.6 to 40.0,9187
Pneumococcal,HHS Regions/National,Region 4,104,2017,18-64 Years at Increased Risk,Overall,34.0,32.7 to 35.3,15841
Pneumococcal,HHS Regions/National,Region 5,105,2017,18-64 Years at Increased Risk,Overall,37.0,35.8 to 38.2,13404
Pneumococcal,HHS Regions/National,Region 6,106,2017,18-64 Years at Increased Risk,Overall,35.7,33.2 to 38.2,7041
Pneumococcal,HHS Regions/National,Region 7,107,2017,18-64 Years at Increased Risk,Overall,36.3,34.7 to 37.9,10563
Pneumococcal,HHS Regions/National,Region 8,108,2017,18-64 Years at Increased Risk,Overall,37.0,35.4 to 38.5,8273
Pneumococcal,HHS Regions/National,Region 9,109,2017,18-64 Years at Increased Risk,Overall,34.8,32.4 to 37.2,6462
Pneumococcal,States/Local Areas,Rhode Island,44,2017,18-64 Years at Increased Risk,Overall,39.5,35.4 to 43.6,1100
Pneumococcal,States/Local Areas,South Carolina,45,2017,18-64 Years at Increased Risk,Overall,34.0,31.4 to 36.6,2270
Pneumococcal,States/Local Areas,South Dakota,46,2017,18-64 Years at Increased Risk,Overall,37.2,32.7 to 41.7,1498
Pneumococcal,States/Local Areas,Tennessee,47,2017,18-64 Years at Increased Risk,Overall,34.9,31.4 to 38.3,1394
Pneumococcal,States/Local Areas,Texas,48,2017,18-64 Years at Increased Risk,Overall,34.9,31.0 to 38.7,2223
Pneumococcal,States/Local Areas,TX-Bexar County,151,2017,18-64 Years at Increased Risk,Overall,36.7,20.8 to 52.6,75
Pneumococcal,States/Local Areas,TX-Harris County,1521,2017,18-64 Years at Increased Risk,Overall,32.7,20.2 to 45.2,116
Pneumococcal,States/Local Areas,TX-Rest of state,154,2017,18-64 Years at Increased Risk,Overall,35.1,30.8 to 39.3,1972
Pneumococcal,HHS Regions/National,Region 10,110,2017,18-64 Years at Increased Risk,Overall,41.0,39.2 to 42.9,4932
Pneumococcal,States/Local Areas,Utah,49,2017,18-64 Years at Increased Risk,Overall,36.7,33.7 to 39.6,1691
Pneumococcal,States/Local Areas,Vermont,50,2017,18-64 Years at Increased Risk,Overall,43.7,39.8 to 47.6,1194
Pneumococcal,States/Local Areas,Virginia,51,2017,18-64 Years at Increased Risk,Overall,38.5,35.5 to 41.4,1964
Pneumococcal,States/Local Areas,Washington,53,2017,18-64 Years at Increased Risk,Overall,41.6,39.0 to 44.2,2329
Pneumococcal,States/Local Areas,West Virginia,54,2017,18-64 Years at Increased Risk,Overall,36.8,34.0 to 39.6,1638
Pneumococcal,States/Local Areas,Wisconsin,55,2017,18-64 Years at Increased Risk,Overall,40.5,36.6 to 44.4,1119
Pneumococcal,States/Local Areas,Wyoming,56,2017,18-64 Years at Increased Risk,Overall,34.9,31.2 to 38.7,913
Pneumococcal,Counties,Abbeville,45001,2018,18-64 Years at Increased Risk,Overall,29.4,27.7 to 31.0,
Pneumococcal,Counties,Acadia Parish,22001,2018,18-64 Years at Increased Risk,Overall,30.2,28.3 to 31.9,
Pneumococcal,Counties,Accomack,51001,2018,18-64 Years at Increased Risk,Overall,29.9,28.4 to 31.4,
Pneumococcal,Counties,Ada,16001,2018,18-64 Years at Increased Risk,Overall,30.3,28.8 to 31.7,
Pneumococcal,Counties,Adair,19001,2018,18-64 Years at Increased Risk,Overall,34.0,31.9 to 36.1,
Pneumococcal,Counties,Adair,21001,2018,18-64 Years at Increased Risk,Overall,31.6,29.7 to 33.7,
Pneumococcal,Counties,Adair,29001,2018,18-64 Years at Increased Risk,Overall,29.3,26.7 to 32.2,
Pneumococcal,Counties,Adair,40001,2018,18-64 Years at Increased Risk,Overall,31.2,29.8 to 32.7,
Pneumococcal,Counties,Adams,08001,2018,18-64 Years at Increased Risk,Overall,30.3,29.1 to 31.5,
Pneumococcal,Counties,Adams,16003,2018,18-64 Years at Increased Risk,Overall,31.4,29.0 to 33.6,
Pneumococcal,Counties,Adams,17001,2018,18-64 Years at Increased Risk,Overall,30.1,28.2 to 32.2,
Pneumococcal,Counties,Adams,18001,2018,18-64 Years at Increased Risk,Overall,28.2,26.3 to 30.1,
Pneumococcal,Counties,Adams,19003,2018,18-64 Years at Increased Risk,Overall,34.7,32.4 to 37.0,
Pneumococcal,Counties,Adams,28001,2018,18-64 Years at Increased Risk,Overall,22.8,21.7 to 24.0,
Pneumococcal,Counties,Adams,31001,2018,18-64 Years at Increased Risk,Overall,30.2,28.4 to 31.7,
Pneumococcal,Counties,Adams,38001,2018,18-64 Years at Increased Risk,Overall,34.3,32.1 to 36.6,
Pneumococcal,Counties,Adams,39001,2018,18-64 Years at Increased Risk,Overall,30.0,27.9 to 32.0,
Pneumococcal,Counties,Adams,42001,2018,18-64 Years at Increased Risk,Overall,31.5,29.6 to 33.6,
Pneumococcal,Counties,Adams,53001,2018,18-64 Years at Increased Risk,Overall,24.0,22.5 to 25.4,
Pneumococcal,Counties,Adams,55001,2018,18-64 Years at Increased Risk,Overall,33.3,31.0 to 35.6,
Pneumococcal,Counties,Addison,50001,2018,18-64 Years at Increased Risk,Overall,34.5,32.4 to 36.3,
Pneumococcal,Counties,Aiken,45003,2018,18-64 Years at Increased Risk,Overall,26.4,25.2 to 27.7,
Pneumococcal,Counties,Aitkin,27001,2018,18-64 Years at Increased Risk,Overall,31.7,29.6 to 33.9,
Pneumococcal,States/Local Areas,Alabama,01,2018,18-64 Years at Increased Risk,Overall,29.4,26.6 to 32.3,1688
Pneumococcal,Counties,Alachua,12001,2018,18-64 Years at Increased Risk,Overall,26.3,24.8 to 27.7,
Pneumococcal,Counties,Alamance,37001,2018,18-64 Years at Increased Risk,Overall,30.3,28.7 to 31.8,
Pneumococcal,Counties,Alameda,06001,2018,18-64 Years at Increased Risk,Overall,28.2,27.3 to 29.1,
Pneumococcal,Counties,Alamosa,08003,2018,18-64 Years at Increased Risk,Overall,27.7,26.1 to 29.4,
Pneumococcal,States/Local Areas,Alaska,02,2018,18-64 Years at Increased Risk,Overall,24.3,19.8 to 28.8,611
Pneumococcal,Counties,Albany,36001,2018,18-64 Years at Increased Risk,Overall,31.2,29.8 to 32.7,
Pneumococcal,Counties,Albany,56001,2018,18-64 Years at Increased Risk,Overall,26.4,24.6 to 28.3,
Pneumococcal,Counties,Albemarle,51003,2018,18-64 Years at Increased Risk,Overall,31.9,30.3 to 33.5,
Pneumococcal,Counties,Alcona,26001,2018,18-64 Years at Increased Risk,Overall,35.9,33.4 to 38.6,
Pneumococcal,Counties,Alcorn,28003,2018,18-64 Years at Increased Risk,Overall,24.7,23.1 to 26.3,
Pneumococcal,Counties,Aleutians East Borough,02013,2018,18-64 Years at Increased Risk,Overall,20.8,19.8 to 22.0,
Pneumococcal,Counties,Aleutians West Census Area,02016,2018,18-64 Years at Increased Risk,Overall,22.3,21.3 to 23.3,
Pneumococcal,Counties,Alexander,17003,2018,18-64 Years at Increased Risk,Overall,28.3,27.1 to 29.5,
Pneumococcal,Counties,Alexander,37003,2018,18-64 Years at Increased Risk,Overall,30.9,28.9 to 32.9,
Pneumococcal,Counties,Alexandria city,51510,2018,18-64 Years at Increased Risk,Overall,29.0,27.8 to 30.2,
Pneumococcal,Counties,Alfalfa,40003,2018,18-64 Years at Increased Risk,Overall,32.4,30.5 to 34.4,
Pneumococcal,Counties,Alger,26003,2018,18-64 Years at Increased Risk,Overall,32.8,30.6 to 34.8,
Pneumococcal,Counties,Allamakee,19005,2018,18-64 Years at Increased Risk,Overall,34.5,32.2 to 36.6,
Pneumococcal,Counties,Allegan,26005,2018,18-64 Years at Increased Risk,Overall,31.2,29.3 to 33.0,
Pneumococcal,Counties,Allegany,24001,2018,18-64 Years at Increased Risk,Overall,30.3,28.6 to 31.9,
Pneumococcal,Counties,Allegany,36003,2018,18-64 Years at Increased Risk,Overall,31.5,29.7 to 33.3,
Pneumococcal,Counties,Alleghany,37005,2018,18-64 Years at Increased Risk,Overall,31.7,29.5 to 33.9,
Pneumococcal,Counties,Alleghany,51005,2018,18-64 Years at Increased Risk,Overall,30.2,28.0 to 32.4,
Pneumococcal,Counties,Allegheny,42003,2018,18-64 Years at Increased Risk,Overall,33.8,32.5 to 35.3,
Pneumococcal,Counties,Allen,18003,2018,18-64 Years at Increased Risk,Overall,28.0,26.6 to 29.3,
Pneumococcal,Counties,Allen,20001,2018,18-64 Years at Increased Risk,Overall,31.9,29.9 to 34.0,
Pneumococcal,Counties,Allen,21003,2018,18-64 Years at Increased Risk,Overall,29.9,27.8 to 32.1,
Pneumococcal,Counties,Allen,39003,2018,18-64 Years at Increased Risk,Overall,31.7,30.2 to 33.4,
Pneumococcal,Counties,Allen Parish,22003,2018,18-64 Years at Increased Risk,Overall,26.6,25.1 to 28.1,
Pneumococcal,Counties,Allendale,45005,2018,18-64 Years at Increased Risk,Overall,22.7,21.3 to 24.2,
Pneumococcal,Counties,Alpena,26007,2018,18-64 Years at Increased Risk,Overall,34.2,32.0 to 36.4,
Pneumococcal,Counties,Amador,06005,2018,18-64 Years at Increased Risk,Overall,30.9,29.2 to 32.7,
Pneumococcal,Counties,Amelia,51007,2018,18-64 Years at Increased Risk,Overall,30.2,28.4 to 32.0,
Pneumococcal,Counties,Amherst,51009,2018,18-64 Years at Increased Risk,Overall,31.8,30.0 to 33.6,
Pneumococcal,Counties,Amite,28005,2018,18-64 Years at Increased Risk,Overall,24.4,23.0 to 26.0,
Pneumococcal,Counties,Anchorage Municipality,02020,2018,18-64 Years at Increased Risk,Overall,24.3,23.3 to 25.3,
Pneumococcal,Counties,Anderson,20003,2018,18-64 Years at Increased Risk,Overall,32.6,30.4 to 34.7,
Pneumococcal,Counties,Anderson,21005,2018,18-64 Years at Increased Risk,Overall,31.8,29.7 to 34.0,
Pneumococcal,Counties,Anderson,45007,2018,18-64 Years at Increased Risk,Overall,32.9,31.4 to 34.5,
Pneumococcal,Counties,Anderson,47001,2018,18-64 Years at Increased Risk,Overall,30.8,28.7 to 32.7,
Pneumococcal,Counties,Anderson,48001,2018,18-64 Years at Increased Risk,Overall,25.0,23.7 to 26.3,
Pneumococcal,Counties,Andrew,29003,2018,18-64 Years at Increased Risk,Overall,34.7,32.6 to 36.9,
Pneumococcal,Counties,Andrews,48003,2018,18-64 Years at Increased Risk,Overall,26.3,24.9 to 27.8,
Pneumococcal,Counties,Androscoggin,23001,2018,18-64 Years at Increased Risk,Overall,33.2,31.5 to 34.9,
Pneumococcal,Counties,Angelina,48005,2018,18-64 Years at Increased Risk,Overall,28.3,27.1 to 29.5,
Pneumococcal,Counties,Anne Arundel,24003,2018,18-64 Years at Increased Risk,Overall,36.6,35.2 to 37.8,
Pneumococcal,Counties,Anoka,27003,2018,18-64 Years at Increased Risk,Overall,26.6,25.2 to 28.1,
Pneumococcal,Counties,Anson,37007,2018,18-64 Years at Increased Risk,Overall,28.0,26.7 to 29.4,
Pneumococcal,Counties,Antelope,31003,2018,18-64 Years at Increased Risk,Overall,30.2,28.2 to 32.3,
Pneumococcal,Counties,Antrim,26009,2018,18-64 Years at Increased Risk,Overall,37.0,34.7 to 39.4,
Pneumococcal,Counties,Apache,04001,2018,18-64 Years at Increased Risk,Overall,25.6,24.2 to 27.0,
Pneumococcal,Counties,Appanoose,19007,2018,18-64 Years at Increased Risk,Overall,34.5,32.4 to 36.7,
Pneumococcal,Counties,Appling,13001,2018,18-64 Years at Increased Risk,Overall,26.5,24.9 to 28.2,
Pneumococcal,Counties,Appomattox,51011,2018,18-64 Years at Increased Risk,Overall,30.5,28.8 to 32.3,
Pneumococcal,Counties,Aransas,48007,2018,18-64 Years at Increased Risk,Overall,29.6,27.7 to 31.3,
Pneumococcal,Counties,Arapahoe,08005,2018,18-64 Years at Increased Risk,Overall,33.1,31.9 to 34.3,
Pneumococcal,Counties,Archer,48009,2018,18-64 Years at Increased Risk,Overall,32.1,30.0 to 34.1,
Pneumococcal,Counties,Archuleta,08007,2018,18-64 Years at Increased Risk,Overall,34.1,32.2 to 36.1,
Pneumococcal,Counties,Arenac,26011,2018,18-64 Years at Increased Risk,Overall,32.4,29.9 to 34.8,
Pneumococcal,States/Local Areas,Arizona,04,2018,18-64 Years at Increased Risk,Overall,30.5,26.9 to 34.0,1603
Pneumococcal,States/Local Areas,Arkansas,05,2018,18-64 Years at Increased Risk,Overall,32.2,28.6 to 35.7,1106
Pneumococcal,Counties,Arkansas,05001,2018,18-64 Years at Increased Risk,Overall,29.3,27.6 to 30.9,
Pneumococcal,Counties,Arlington,51013,2018,18-64 Years at Increased Risk,Overall,32.9,31.5 to 34.2,
Pneumococcal,Counties,Armstrong,42005,2018,18-64 Years at Increased Risk,Overall,35.0,32.7 to 37.3,
Pneumococcal,Counties,Armstrong,48011,2018,18-64 Years at Increased Risk,Overall,32.1,30.6 to 33.6,
Pneumococcal,Counties,Aroostook,23003,2018,18-64 Years at Increased Risk,Overall,32.5,30.7 to 34.3,
Pneumococcal,Counties,Arthur,31005,2018,18-64 Years at Increased Risk,Overall,30.2,28.3 to 32.3,
Pneumococcal,Counties,Ascension Parish,22005,2018,18-64 Years at Increased Risk,Overall,29.8,28.2 to 31.3,
Pneumococcal,Counties,Ashe,37009,2018,18-64 Years at Increased Risk,Overall,33.7,31.5 to 35.8,
Pneumococcal,Counties,Ashland,39005,2018,18-64 Years at Increased Risk,Overall,31.5,29.4 to 33.7,
Pneumococcal,Counties,Ashland,55003,2018,18-64 Years at Increased Risk,Overall,29.6,27.9 to 31.3,
Pneumococcal,Counties,Ashley,05003,2018,18-64 Years at Increased Risk,Overall,27.1,25.7 to 28.6,
Pneumococcal,Counties,Ashtabula,39007,2018,18-64 Years at Increased Risk,Overall,29.6,27.7 to 31.4,
Pneumococcal,Counties,Asotin,53003,2018,18-64 Years at Increased Risk,Overall,30.2,28.4 to 32.1,
Pneumococcal,Counties,Assumption Parish,22007,2018,18-64 Years at Increased Risk,Overall,27.7,26.3 to 29.3,
Pneumococcal,Counties,Atascosa,48013,2018,18-64 Years at Increased Risk,Overall,26.0,24.6 to 27.6,
Pneumococcal,Counties,Atchison,20005,2018,18-64 Years at Increased Risk,Overall,30.3,28.4 to 32.2,
Pneumococcal,Counties,Atchison,29005,2018,18-64 Years at Increased Risk,Overall,33.8,31.4 to 36.1,
Pneumococcal,Counties,Athens,39009,2018,18-64 Years at Increased Risk,Overall,28.9,26.7 to 31.1,
Pneumococcal,Counties,Atkinson,13003,2018,18-64 Years at Increased Risk,Overall,24.1,22.8 to 25.4,
Pneumococcal,Counties,Atlantic,34001,2018,18-64 Years at Increased Risk,Overall,26.9,25.6 to 28.2,
Pneumococcal,Counties,Atoka,40005,2018,18-64 Years at Increased Risk,Overall,30.0,28.5 to 31.6,
Pneumococcal,Counties,Attala,28007,2018,18-64 Years at Increased Risk,Overall,26.3,24.8 to 27.8,
Pneumococcal,Counties,Audrain,29007,2018,18-64 Years at Increased Risk,Overall,29.3,27.4 to 31.3,
Pneumococcal,Counties,Audubon,19009,2018,18-64 Years at Increased Risk,Overall,35.5,33.1 to 37.6,
Pneumococcal,Counties,Auglaize,39011,2018,18-64 Years at Increased Risk,Overall,29.4,27.7 to 31.5,
Pneumococcal,Counties,Augusta,51015,2018,18-64 Years at Increased Risk,Overall,30.9,29.0 to 32.8,
Pneumococcal,Counties,Aurora,46003,2018,18-64 Years at Increased Risk,Overall,31.8,29.8 to 33.9,
Pneumococcal,Counties,Austin,48015,2018,18-64 Years at Increased Risk,Overall,29.6,28.2 to 31.0,
Pneumococcal,Counties,Autauga,01001,2018,18-64 Years at Increased Risk,Overall,26.9,25.4 to 28.4,
Pneumococcal,Counties,Avery,37011,2018,18-64 Years at Increased Risk,Overall,31.4,29.4 to 33.5,
Pneumococcal,Counties,Avoyelles Parish,22009,2018,18-64 Years at Increased Risk,Overall,26.6,25.3 to 28.2,
Pneumococcal,Counties,Baca,08009,2018,18-64 Years at Increased Risk,Overall,31.6,29.6 to 33.6,
Pneumococcal,Counties,Bacon,13005,2018,18-64 Years at Increased Risk,Overall,25.1,23.5 to 26.8,
Pneumococcal,Counties,Bailey,48017,2018,18-64 Years at Increased Risk,Overall,25.0,23.5 to 26.4,
Pneumococcal,Counties,Baker,12003,2018,18-64 Years at Increased Risk,Overall,24.1,22.7 to 25.7,
Pneumococcal,Counties,Baker,13007,2018,18-64 Years at Increased Risk,Overall,27.6,26.1 to 29.1,
Pneumococcal,Counties,Baker,41001,2018,18-64 Years at Increased Risk,Overall,33.4,31.2 to 35.6,
Pneumococcal,Counties,Baldwin,01003,2018,18-64 Years at Increased Risk,Overall,29.4,27.8 to 30.9,
Pneumococcal,Counties,Baldwin,13009,2018,18-64 Years at Increased Risk,Overall,26.0,24.5 to 27.6,
Pneumococcal,Counties,Ballard,21007,2018,18-64 Years at Increased Risk,Overall,31.5,29.3 to 33.6,
Pneumococcal,Counties,Baltimore,24005,2018,18-64 Years at Increased Risk,Overall,34.1,33.0 to 35.2,
Pneumococcal,Counties,Baltimore city,24510,2018,18-64 Years at Increased Risk,Overall,32.0,30.8 to 33.3,
Pneumococcal,Counties,Bamberg,45009,2018,18-64 Years at Increased Risk,Overall,26.9,25.3 to 28.4,
Pneumococcal,Counties,Bandera,48019,2018,18-64 Years at Increased Risk,Overall,30.9,29.1 to 32.7,
Pneumococcal,Counties,Banks,13011,2018,18-64 Years at Increased Risk,Overall,27.3,25.4 to 29.2,
Pneumococcal,Counties,Banner,31007,2018,18-64 Years at Increased Risk,Overall,32.8,30.6 to 35.0,
Pneumococcal,Counties,Bannock,16005,2018,18-64 Years at Increased Risk,Overall,28.9,27.3 to 30.5,
Pneumococcal,Counties,Baraga,26013,2018,18-64 Years at Increased Risk,Overall,31.4,29.6 to 33.0,
Pneumococcal,Counties,Barber,20007,2018,18-64 Years at Increased Risk,Overall,32.2,30.0 to 34.3,
Pneumococcal,Counties,Barbour,01005,2018,18-64 Years at Increased Risk,Overall,26.5,25.1 to 27.8,
Pneumococcal,Counties,Barbour,54001,2018,18-64 Years at Increased Risk,Overall,30.2,28.1 to 32.3,
Pneumococcal,Counties,Barnes,38003,2018,18-64 Years at Increased Risk,Overall,35.3,33.3 to 37.3,
Pneumococcal,Counties,Barnstable,25001,2018,18-64 Years at Increased Risk,Overall,36.1,34.1 to 38.0,
Pneumococcal,Counties,Barnwell,45011,2018,18-64 Years at Increased Risk,Overall,27.0,25.6 to 28.3,
Pneumococcal,Counties,Barren,21009,2018,18-64 Years at Increased Risk,Overall,32.8,30.8 to 34.7,
Pneumococcal,Counties,Barron,55005,2018,18-64 Years at Increased Risk,Overall,30.9,28.9 to 32.9,
Pneumococcal,Counties,Barrow,13013,2018,18-64 Years at Increased Risk,Overall,24.7,23.2 to 26.1,
Pneumococcal,Counties,Barry,26015,2018,18-64 Years at Increased Risk,Overall,34.1,32.0 to 36.2,
Pneumococcal,Counties,Barry,29009,2018,18-64 Years at Increased Risk,Overall,30.6,28.6 to 32.6,
Pneumococcal,Counties,Bartholomew,18005,2018,18-64 Years at Increased Risk,Overall,29.5,28.0 to 31.2,
Pneumococcal,Counties,Barton,20009,2018,18-64 Years at Increased Risk,Overall,31.6,29.8 to 33.4,
Pneumococcal,Counties,Barton,29011,2018,18-64 Years at Increased Risk,Overall,30.7,28.7 to 32.7,
Pneumococcal,Counties,Bartow,13015,2018,18-64 Years at Increased Risk,Overall,27.3,25.7 to 28.9,
Pneumococcal,Counties,Bastrop,48021,2018,18-64 Years at Increased Risk,Overall,29.7,28.2 to 31.1,
Pneumococcal,Counties,Bates,29013,2018,18-64 Years at Increased Risk,Overall,29.4,27.3 to 31.4,
Pneumococcal,Counties,Bath,21011,2018,18-64 Years at Increased Risk,Overall,30.0,27.9 to 32.1,
Pneumococcal,Counties,Bath,51017,2018,18-64 Years at Increased Risk,Overall,29.9,27.7 to 32.0,
Pneumococcal,Counties,Baxter,05005,2018,18-64 Years at Increased Risk,Overall,32.8,30.7 to 34.8,
Pneumococcal,Counties,Bay,12005,2018,18-64 Years at Increased Risk,Overall,26.3,25.0 to 27.7,
Pneumococcal,Counties,Bay,26017,2018,18-64 Years at Increased Risk,Overall,33.3,31.2 to 35.4,
Pneumococcal,Counties,Bayfield,55007,2018,18-64 Years at Increased Risk,Overall,33.7,31.8 to 35.9,
Pneumococcal,Counties,Baylor,48023,2018,18-64 Years at Increased Risk,Overall,30.0,28.1 to 31.8,
Pneumococcal,Counties,Beadle,46005,2018,18-64 Years at Increased Risk,Overall,27.8,26.0 to 29.5,
Pneumococcal,Counties,Bear Lake,16007,2018,18-64 Years at Increased Risk,Overall,28.6,26.6 to 30.6,
Pneumococcal,Counties,Beaufort,37013,2018,18-64 Years at Increased Risk,Overall,30.6,29.0 to 32.3,
Pneumococcal,Counties,Beaufort,45013,2018,18-64 Years at Increased Risk,Overall,28.9,27.6 to 30.1,
Pneumococcal,Counties,Beauregard Parish,22011,2018,18-64 Years at Increased Risk,Overall,29.6,28.0 to 31.4,
Pneumococcal,Counties,Beaver,40007,2018,18-64 Years at Increased Risk,Overall,31.2,29.4 to 33.0,
Pneumococcal,Counties,Beaver,42007,2018,18-64 Years at Increased Risk,Overall,31.4,29.4 to 33.5,
Pneumococcal,Counties,Beaver,49001,2018,18-64 Years at Increased Risk,Overall,28.7,26.9 to 30.6,
Pneumococcal,Counties,Beaverhead,30001,2018,18-64 Years at Increased Risk,Overall,33.1,31.0 to 35.2,
Pneumococcal,Counties,Becker,27005,2018,18-64 Years at Increased Risk,Overall,31.4,29.5 to 33.1,
Pneumococcal,Counties,Beckham,40009,2018,18-64 Years at Increased Risk,Overall,31.9,30.1 to 33.7,
Pneumococcal,Counties,Bedford,42009,2018,18-64 Years at Increased Risk,Overall,32.3,30.1 to 34.5,
Pneumococcal,Counties,Bedford,47003,2018,18-64 Years at Increased Risk,Overall,29.3,27.6 to 31.2,
Pneumococcal,Counties,Bedford,51019,2018,18-64 Years at Increased Risk,Overall,33.5,31.6 to 35.4,
Pneumococcal,Counties,Bee,48025,2018,18-64 Years at Increased Risk,Overall,23.5,22.1 to 24.8,
Pneumococcal,Counties,Belknap,33001,2018,18-64 Years at Increased Risk,Overall,38.0,35.9 to 40.1,
Pneumococcal,Counties,Bell,21013,2018,18-64 Years at Increased Risk,Overall,26.7,24.7 to 28.9,
Pneumococcal,Counties,Bell,48027,2018,18-64 Years at Increased Risk,Overall,27.7,26.6 to 28.8,
Pneumococcal,Counties,Belmont,39013,2018,18-64 Years at Increased Risk,Overall,28.2,26.5 to 29.9,
Pneumococcal,Counties,Beltrami,27007,2018,18-64 Years at Increased Risk,Overall,27.6,26.1 to 29.1,
Pneumococcal,Counties,Ben Hill,13017,2018,18-64 Years at Increased Risk,Overall,26.2,24.8 to 27.7,
Pneumococcal,Counties,Benewah,16009,2018,18-64 Years at Increased Risk,Overall,31.8,29.8 to 33.9,
Pneumococcal,Counties,Bennett,46007,2018,18-64 Years at Increased Risk,Overall,26.2,24.8 to 27.5,
Pneumococcal,Counties,Bennington,50003,2018,18-64 Years at Increased Risk,Overall,40.0,38.1 to 42.1,
Pneumococcal,Counties,Benson,38005,2018,18-64 Years at Increased Risk,Overall,28.8,27.4 to 30.3,
Pneumococcal,Counties,Bent,08011,2018,18-64 Years at Increased Risk,Overall,26.6,25.7 to 27.6,
Pneumococcal,Counties,Benton,05007,2018,18-64 Years at Increased Risk,Overall,30.0,28.6 to 31.4,
Pneumococcal,Counties,Benton,18007,2018,18-64 Years at Increased Risk,Overall,29.7,27.5 to 31.7,
Pneumococcal,Counties,Benton,19011,2018,18-64 Years at Increased Risk,Overall,33.3,31.3 to 35.4,
Pneumococcal,Counties,Benton,27009,2018,18-64 Years at Increased Risk,Overall,27.5,25.8 to 29.2,
Pneumococcal,Counties,Benton,28009,2018,18-64 Years at Increased Risk,Overall,24.1,22.6 to 25.5,
Pneumococcal,Counties,Benton,29015,2018,18-64 Years at Increased Risk,Overall,33.5,31.3 to 35.6,
Pneumococcal,Counties,Benton,41003,2018,18-64 Years at Increased Risk,Overall,35.4,33.4 to 37.5,
Pneumococcal,Counties,Benton,47005,2018,18-64 Years at Increased Risk,Overall,29.6,27.5 to 31.8,
Pneumococcal,Counties,Benton,53005,2018,18-64 Years at Increased Risk,Overall,33.5,32.0 to 35.1,
Pneumococcal,Counties,Benzie,26019,2018,18-64 Years at Increased Risk,Overall,33.9,31.8 to 36.0,
Pneumococcal,Counties,Bergen,34003,2018,18-64 Years at Increased Risk,Overall,27.4,26.2 to 28.6,
Pneumococcal,Counties,Berkeley,45015,2018,18-64 Years at Increased Risk,Overall,30.2,28.9 to 31.5,
