State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop,People who have received a booster dose,Percent of fully vaccinated people with booster doses,People 18+ who have received a booster dose,Percent of fully vaccinated people 18+ with booster doses,People 50+ who have received a booster dose,Percent of fully vaccinated people 50+ with booster doses,People 65+ who have received a booster dose,Percent of fully vaccinated people 65+ with booster doses,People with Moderna booster dose,People with Pfizer booster dose,People with Janssen booster dose,People with booster dose of an unknown manufacturer
New York State,31365035,161230,203336,27115505,139386,25370343,164473,14299323,73.5,13366653,86.7,12850740,66.1,12035566,78,18134415,11763720,1466900,0,1159100,9865348,16080702,10355,4569200,7174672,1104212,2656,4567282,6362370,1103428,2486,11750896,73.5,13366653,86.7,60.4,10936469,70.9,14299323,3092717,93.8,2804117,85.1,1325003,1308719,175017,1127,6150122,186585,951567,14297469,85.2,12849935,76.6,4569021,7174202,1104070,2642,27112896,161644,186995,518391,4,517477,4.3,434714,15.5,314499,11.2,N/A,N/A,N/A,N/A
Ohio,15995775,136844,175564,12699508,108644,11977924,131465,6484054,55.5,6104888,67,6023303,51.5,5687403,62.4,8900835,6351840,743100,0,509668,4772015,7401143,16682,2228008,3295139,495586,4570,2227511,2960046,495365,4481,5531281,55.5,6104888,67,47.3,5195585,57,6484054,1798593,87.9,1721165,84.1,777804,856181,87270,2281,3821202,186735,781685,6483803,64.8,6023207,60.2,2228002,3295060,495575,4570,12699237,126983,159947,434253,7.2,433360,7.6,379802,22.1,306408,17.8,N/A,N/A,N/A,N/A
Oklahoma,5268420,133143,175337,4385686,110834,4114552,136936,2323628,58.7,2175738,72.4,1961771,49.6,1840260,61.2,2717160,2288560,262700,0,124234,1759887,2500700,865,777792,1060407,123440,132,777539,939253,123350,118,1839048,58.7,2175738,72.4,46.5,1717624,57.2,2323628,601690,94.7,517853,81.5,264854,238714,20167,34,1204039,189573,829500,2323381,69.9,1961699,59,777775,1060367,123425,132,4385405,131883,158438,153540,7.8,153338,8.3,127507,24.6,95017,18.3,N/A,N/A,N/A,N/A
Oregon,7109115,168553,212138,5510358,130647,5147064,153590,2866145,68,2673738,79.8,2634171,62.5,2464896,73.6,3926415,2806900,375800,0,229534,2005019,3271273,4532,942682,1465123,225302,1064,939855,1299548,224498,995,2410586,68,2673738,79.8,57.2,2242104,66.9,2866145,707365,92.3,668101,87.2,301651,316332,50497,465,1454107,189811,927986,2858071,78.4,2628428,72.1,942678,1459391,225299,1060,5496316,150676,194889,202793,7.7,202513,8.2,160496,24,125872,18.8,N/A,N/A,N/A,N/A
Pennsylvania,20445385,159705,201088,17198354,134341,16176632,159103,9763204,76.3,9188588,90.4,7685449,60,7248800,71.3,11029005,8229480,1186900,0,670715,6614515,9912052,1072,2881865,4130524,672526,534,2879390,3696869,672046,495,7014870,76.3,9188588,90.4,54.8,6578673,64.7,9763204,2807488,99.9,2155236,90.1,1009731,1059031,88841,246,5118759,213873,854254,9759442,88.1,7683787,69.3,2881722,4129072,672459,534,17192971,155150,184500,328480,4.3,327791,4.5,269650,12.5,198535,9.2,N/A,N/A,N/A,N/A
Puerto Rico,4987790,156176,190304,4944768,154829,4557166,173874,2608325,81.7,2399890,91.6,2337069,73.2,2156052,82.3,2737410,2054480,195900,0,134892,1939640,2869804,432,893799,1309211,133997,62,893391,1128775,133827,59,2203422,81.7,2399890,91.6,69,2022573,77.2,2608325,630261,99.9,566859,99.9,279108,265103,22860,14,1231597,226844,918684,2607025,91.5,2336666,82,893734,1308923,133947,62,4943113,173547,175115,117300,5,116954,5.4,86017,15.2,54760,9.7,N/A,N/A,N/A,N/A
Rhode Island,1794565,169401,209924,1530159,144442,1428529,167106,819423,77.4,763897,89.4,745471,70.4,696305,81.5,1011105,704760,78700,0,54869,563304,911047,939,268703,422025,54521,222,268612,372974,54499,220,691393,77.4,763897,89.4,65.3,642249,75.1,819423,192694,99.9,178400,95.4,80703,91577,6330,77,397241,212376,959424,819284,88.3,745420,80.4,268698,421981,54520,221,1530029,164964,193486,50681,6.8,50559,7.3,43804,24.6,34599,19.4,N/A,N/A,N/A,N/A
Republic of Palau,33090,184788,237255,31592,176423,28960,207643,17944,99.9,16593,99.9,15680,87.6,14394,99.9,6390,22900,3800,0,2333,24625,4634,0,11611,1731,2338,0,11611,445,2338,0,13343,99.9,16593,99.9,74.5,12057,86.4,17944,1788,58.9,1712,56.4,1466,19,227,0,3634,119776,1090640,17944,99.9,15680,99.9,11611,1731,2338,0,31592,206592,216388,564,3.6,564,3.9,539,31.5,412,24.1,N/A,N/A,N/A,N/A
South Carolina,7399605,143718,183271,5586113,108495,5277734,130717,2932430,57,2762339,68.4,2546443,49.5,2405760,59.6,3909585,3129420,360600,0,185260,2112216,3287129,1508,941801,1422078,182276,288,939816,1283968,181690,286,2365263,57,2762339,68.4,45.9,2225163,55.1,2932430,871350,93,772265,82.4,327563,416800,29107,178,1780558,190023,789693,2927479,66.2,2543584,57.5,941715,1419349,182232,288,5578211,126205,167413,220101,8.6,219814,9.1,191204,24.8,156201,20.2,N/A,N/A,N/A,N/A
South Dakota,1286805,145458,192763,1002759,113350,938536,140592,540479,61.1,504164,75.5,461874,52.2,434373,65.1,681165,535440,70200,0,32617,387085,582931,126,179889,249224,32739,22,179829,221808,32714,22,429245,61.1,504164,75.5,48.5,401768,60.2,540479,151517,99.8,133099,87.6,66773,62130,4491,15,297928,196172,847301,540424,73.2,461858,62.6,179887,249212,32737,22,1002704,135849,174340,36582,7.9,36555,8.4,31239,23.5,24243,18.2,N/A,N/A,N/A,N/A
Tennessee,9151930,134012,172057,7292468,106784,6925409,130198,3698169,54.2,3497514,65.8,3228989,47.3,3069483,57.7,5192190,3545640,414100,0,213746,2722932,4322997,32793,1190995,1823316,206354,8324,1190504,1664639,206092,8248,3025368,54.2,3497514,65.8,44.3,2866070,53.9,3698169,991422,86.7,909735,79.6,450336,423624,33609,4538,2154850,188461,800419,3697417,63.4,3228802,55.3,1190975,1823197,206308,8322,7291573,124951,156830,292782,9.1,292070,9.5,240351,26.4,181163,19.9,N/A,N/A,N/A,N/A
Texas,43819645,151124,202906,33847281,116731,31083534,143931,17669171,60.9,16188988,75,15347006,52.9,14144792,65.5,24840825,16851320,2127500,0,1266171,12612760,19965952,2398,5595799,8572841,1178118,248,5591950,7375880,1176731,231,14180004,60.9,16188988,75,48.9,12979122,60.1,17669171,3357520,89.9,3033454,81.2,5488701,7113453,1139118,152,7010104,187726,1173460,17662993,73.3,15344916,63.7,5595278,8571535,1177856,247,33839240,140405,181816,1068930,7,1065598,7.5,829531,27.3,557272,18.4,N/A,N/A,N/A,N/A
Utah,4278930,133468,188104,3641187,113576,3298080,144985,1945336,60.7,1761454,77.4,1700562,53,1545523,67.9,2517930,1566700,194300,0,150341,1317434,2173160,252,596902,955733,147921,6,596519,801250,147748,6,1553848,60.7,1761454,77.4,48.5,1398967,61.5,1945336,351346,96,312890,85.5,133591,164396,15873,1,723947,197869,1169520,1944656,75,1700225,65.6,596868,955465,147886,6,3640198,140426,165066,95804,5.6,95456,6.2,78137,25,62946,20.1,N/A,N/A,N/A,N/A
Virginia,13562305,158893,203191,11470954,134391,10601680,158834,6009377,70.4,5552511,83.2,5338270,62.5,4939019,74,7905465,5047440,609400,0,408362,4025499,7030455,6638,1853759,3082319,399591,2601,1848229,2690285,398057,2448,4942271,70.4,5552511,83.2,57.9,4544540,68.1,6009377,1309673,96.4,1182118,87,554360,561510,68861,814,2669698,196459,998031,5991002,82,5326186,72.9,1853589,3070506,399496,2595,11439487,156556,185608,360002,6.7,359314,7.3,293199,24.8,216894,18.3,N/A,N/A,N/A,N/A
Veterans Health,6631120,N/A,N/A,5925055,N/A,5922026,N/A,3065729,N/A,3064019,N/A,2854271,N/A,2852921,N/A,2949960,3138260,542900,0,219262,2938033,2767392,368,1402739,1233033,218490,9,1402679,1231783,218450,9,2636055,N/A,3064019,N/A,0,2634745,0,3065729,1545158,0,1467542,0,802187,593102,72252,1,3118653,0,0,3065631,0,2854197,0,1402717,1232988,218483,9,5924890,0,0,216214,7.6,216214,7.6,209814,14.3,175178,11.9,N/A,N/A,N/A,N/A
Virgin Islands,115260,110107,141366,107554,102746,102309,125482,55435,53,52561,64.5,48596,46.4,46255,56.7,83280,30480,1500,0,1489,28517,77548,0,12913,34242,1438,3,12888,31932,1432,3,47161,53,52561,64.5,45.1,44826,55,55435,15077,85,13685,77.2,5072,8175,447,3,29603,166900,649828,55370,61.9,48568,54.3,12905,34225,1435,3,107461,120209,128933,2192,4.5,2191,4.7,1906,13.9,1358,9.9,N/A,N/A,N/A,N/A
Vermont,1129090,180947,221397,951700,152519,889780,174472,493473,79.1,460248,90.2,441800,70.8,412605,80.9,600210,466980,61900,0,44700,363674,542495,831,164997,233294,43255,254,164953,204234,43181,237,398813,79.1,460248,90.2,63.9,369677,72.5,493473,131176,99.9,120874,96.7,58230,60221,2363,150,290153,232050,902990,493054,89.5,441761,80.2,164990,233278,43239,254,951276,172661,204935,42607,9.6,42552,10.3,37159,30.7,30636,25.3,N/A,N/A,N/A,N/A
Washington,12139625,159420,203965,10106696,132723,9423569,158331,5244471,68.9,4886395,82.1,4797997,63,4480034,75.3,6897945,4634680,607000,0,405617,3740188,5953249,7642,1752802,2638352,404399,2444,1752092,2321443,404102,2397,4397323,68.9,4886395,82.1,57.7,4079627,68.5,5244471,1151490,95.2,1080707,89.3,493166,532517,55800,1321,2427556,200670,1003510,5243539,80.7,4797717,73.8,1752746,2638156,404373,2442,10105630,155449,186737,344963,7.2,344137,7.7,282377,26.1,216683,20.1,N/A,N/A,N/A,N/A
Wisconsin,8045235,138176,176592,7179001,123299,6739960,147941,3625725,62.3,3393420,74.5,3373184,57.9,3170241,69.6,4551255,3132880,361100,0,280550,2686992,4210357,1102,1253305,1846443,273007,429,1252992,1644017,272818,414,3101487,62.3,3393420,74.5,53.3,2898712,63.6,3625725,972874,95.6,930819,91.5,447808,455130,28826,185,2130316,209421,790886,3625170,72.5,3372990,67.5,1253289,1846283,272989,429,7178493,143576,160911,304297,9,303921,9.6,250265,26.9,195729,21,N/A,N/A,N/A,N/A
West Virginia,3121715,174189,217909,1586835,88544,1512830,105602,874709,48.8,830922,58,734102,41,702408,49,1748895,1241620,131200,0,42176,703155,841090,414,319026,370620,44200,256,318723,339321,44132,232,690001,48.8,830922,58,38.5,658369,46,874709,294792,80.3,263098,71.7,133849,122498,6858,106,567948,154750,850578,874075,56.1,733799,47.1,318937,370420,44186,256,1585872,101800,200388,41709,5.7,41664,5.9,34056,12.9,24010,9.1,N/A,N/A,N/A,N/A
Wyoming,716325,123769,160963,557340,96299,528257,118703,291149,50.3,274921,61.8,251662,43.5,238882,53.7,352785,324740,38800,0,24394,241037,291397,512,106141,122567,22867,87,106122,109831,22844,85,228910,50.3,274921,61.8,39.6,216152,48.6,291149,85004,85.7,78001,78.6,39743,34800,3594,38,174462,175906,722255,291109,59.3,251651,51.3,106140,122559,22865,87,557298,113567,145974,23317,9.3,23267,9.7,19936,25.6,15416,19.8,N/A,N/A,N/A,N/A
